Year,Marks,Model,Body Type,Mileage,Engine Size,Transmission,Fuel Type,Price($),City, Car Type
2025,Mitsubishi,ASX,SUV,N/A,2.0L,Constantly Variable Transmission,Petrol,29740,N/A,Available to order
2024,Kia,Carnival,N/A,"2,410",2.2L,Sports Automatic,Diesel,73999,Victoria,Demo
2024,LDV,T60,Ute,9,2.0L,Sports Automatic,Diesel,41940,Victoria,New
2024,Ford,Ranger,Ute,470,3.0L,Sports Automatic,Petrol,83202,Victoria,Used
2024,Toyota,Landcruiser Prado,SUV,25,2.8L,Sports Automatic,Diesel,88888,Western Australia,Used
2023,Volkswagen,Tiguan,SUV,"55,836",1.4L,Sports Automatic Dual Clutch,Petrol,27489,Western Australia,Used
2025,Mitsubishi,ASX,SUV,N/A,2.4L,Constantly Variable Transmission,Petrol,32740,N/A,Available to order
2024,Chery,Tiggo 7 Pro,SUV,7,1.6L,Sports Automatic Dual Clutch,Petrol,35880,New South Wales,Demo
2018,LDV,T60,Ute,"98,556",2.8L,Sports Automatic,Diesel,20590,Australian Capital Territory,Used
2022,Ford,Ranger,Ute,"94,371",2.0L,Sports Automatic,Diesel,41990,Victoria,Used
2017,Mazda,BT-50,Ute,"78,928",3.2L,Sports Automatic,Diesel,26770,New South Wales,Used
2024,Hyundai,Venue,SUV,"2,150",1.6L,Automatic,Petrol,26490,New South Wales,New
2025,Mitsubishi,ASX,SUV,N/A,2.0L,Constantly Variable Transmission,Petrol,30490,N/A,Available to order
2014,Honda,CR-V,SUV,"129,872",2.4L,Sports Automatic,Petrol,15449,Queensland,Used
2022,Mitsubishi,Outlander,SUV,"47,774",2.5L,Constantly Variable Transmission,Petrol,39999,Victoria,Used
2025,Mazda,BT-50,Ute,500,3.0L,Sports Automatic,Diesel,51990,Queensland,Demo
2022,Toyota,Landcruiser,SUV,"9,377",3.3L,Sports Automatic,Diesel,112888,Western Australia,Used
2016,Nissan,Navara,Ute,"158,340",2.3L,Sports Automatic,Diesel,31920,Queensland,Used
2025,Mitsubishi,Eclipse Cross,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,31990,N/A,Available to order
2021,Mercedes-Benz,GLE-Class,SUV,"50,191",2.0L,Sports Automatic,Diesel,82895,Queensland,Used
2020,Hyundai,Tucson,SUV,"82,013",2.0L,Sports Automatic,Diesel,29767,New South Wales,Used
2024,Hyundai,Kona,SUV,9,1.6L,Sports Automatic Dual Clutch,Hybrid,40990,New South Wales,New
2023,Renault,Koleos,SUV,"31,246",2.5L,Constantly Variable Transmission,Petrol,23990,Queensland,Used
2019,Nissan,Pathfinder,SUV,"75,582",3.5L,Constantly Variable Transmission,Petrol,26871,Victoria,Used
2025,Porsche,911,Coupe,N/A,3.0L,Sports Automatic Dual Clutch,Petrol,279400,N/A,Available to order
2017,Isuzu,D-MAX,N/A,"74,054",3.0L,Sports Automatic,Diesel,25990,Queensland,Used
2014,Toyota,Corolla,Hatchback,"111,927",1.8L,Constantly Variable Transmission,Petrol,17500,New South Wales,Used
2019,Land,Rover Discovery Sport,SUV,"62,465",2.0L,Sports Automatic,Petrol,30694,Queensland,Used
2024,Kia,Sportage,SUV,"25,102",2.0L,Sports Automatic,Petrol,34450,Victoria,Used
2021,Toyota,Hilux,Ute,"58,939",2.8L,Sports Automatic,Diesel,64450,Victoria,Used
2025,Mitsubishi,Eclipse Cross,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,40990,N/A,Available to order
2019,Ford,Ranger,Ute,"185,568",2.0L,Sports Automatic,Diesel,29811,New South Wales,Used
2024,Chery,OMODA 5,SUV,18,1.5L,Constantly Variable Transmission,Petrol,29490,Victoria,Used
2021,Land,Rover Range Rover Evoque,SUV,"43,990",2.0L,Sports Automatic,Petrol,57990,Queensland,Used
2017,Kia,Sportage,SUV,"94,461",2.0L,Sports Automatic,Petrol,16995,Queensland,Used
2010,Toyota,Camry,Sedan,"70,687",2.4L,Automatic,Petrol,14888,Victoria,Used
2025,MINI,Countryman,SUV,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,73990,N/A,Available to order
2025,Chery,Tiggo 4 Pro,SUV,20,1.5L,Constantly Variable Transmission,Petrol,26500,Victoria,Used
2019,Toyota,Camry,Sedan,"87,295",2.5L,Constantly Variable Transmission,Hybrid,26950,Queensland,Used
2022,Kia,Carnival,N/A,"51,085",2.2L,Sports Automatic,Diesel,43990,Victoria,Used
2021,Mercedes-Benz,E-Class,Sedan,"26,292",2.0L,Sports Automatic,Petrol,87490,Australian Capital Territory,Used
2025,Toyota,RAV4,SUV,"4,318",2.5L,Constantly Variable Transmission,Hybrid,50990,Queensland,Used
2025,MINI,Countryman,SUV,N/A,N/A,Automatic,Electric,72990,N/A,Available to order
